frase,label
"Lançar cobrança para João no valor de R$ 3399,97",Cobrança
Gerar cobrança automática de R$ 3108,Cobrança
Cobrar R$ 4554 à vista amanhã,Cobrança
"Passe a cobrança de R$ 9,50 para o cliente",Cobrança
Cobrar R$ 541 à vista amanhã,Cobrança
Cobrar R$ 2597 à vista amanhã,Cobrança
"Gerar cobrança automática de R$ 721,97",Cobrança
"Cobra o pagamento de R$ 1578,98 em 12 parcelas",Cobrança
"Passe a cobrança de R$ 2567,81 para o cliente",Cobrança
"Passe a cobrança de R$ 87,34 para o cliente",Cobrança
Passe a fatura de R$ 800 no cartão,Cobrança
"Emitir cobrança no valor de R$ 2115,12",Cobrança
Lançar cobrança para João no valor de R$ 2665,Cobrança
"Cobra o pagamento de R$ 2643,21 em 5 parcelas",Cobrança
Lançar cobrança para João no valor de R$ 3211,Cobrança
Passe a cobrança de R$ 4368 para o cliente,Cobrança
"Cobrar R$ 4503,39 à vista amanhã",Cobrança
Passe a cobrança de R$ 4586 para o cliente,Cobrança
Cobra o pagamento de R$ 92 em 1 parcelas,Cobrança
"Cobra R$ 88,23 pela manutenção",Cobrança
"Cobrar taxa de R$ 2397,68 pela entrega",Cobrança
Lançar cobrança para João no valor de R$ 2185,Cobrança
Cobrar o valor total de R$ 3607,Cobrança
Emitir cobrança no valor de R$ 3559,Cobrança
Cobra o valor de R$ 2563 em 2x,Cobrança
"Cobra o valor de R$ 4939,81 em 1x",Cobrança
"Passe a fatura de R$ 4903,55 no cartão",Cobrança
"Lançar cobrança para João no valor de R$ 1376,94",Cobrança
Cobrar taxa de R$ 3898 pela entrega,Cobrança
Lançar cobrança para João no valor de R$ 2698,Cobrança
"Cobra R$ 1145,61 pela manutenção",Cobrança
"Cobrar taxa de R$ 912,60 pela entrega",Cobrança
Cobra o valor de R$ 1901 em 4x,Cobrança
Cobra o valor de R$ 1062 em 2x,Cobrança
"Emitir cobrança no valor de R$ 2496,63",Cobrança
"Cobra o pagamento de R$ 1781,83 em 1 parcelas",Cobrança
"Cobrar a quantia de R$ 442,39 referente ao serviço",Cobrança
"Cobra R$ 1126,83 pela manutenção",Cobrança
Cobrar o valor total de R$ 4881,Cobrança
"Emitir cobrança no valor de R$ 3911,40",Cobrança
"Cobrar taxa de R$ 60,81 pela entrega",Cobrança
"Cobrar taxa de R$ 4783,53 pela entrega",Cobrança
"Cobra R$ 1697,53 pela manutenção",Cobrança
Emitir cobrança no valor de R$ 2901,Cobrança
Cobra R$ 3740 pela manutenção,Cobrança
Passe a cobrança de R$ 1171 para o cliente,Cobrança
"Cobrar R$ 4807,91 à vista amanhã",Cobrança
"Lançar cobrança para João no valor de R$ 445,44",Cobrança
"Lançar cobrança para João no valor de R$ 4369,79",Cobrança
Lançar cobrança para João no valor de R$ 3691,Cobrança
"Cobra R$ 2069,75 pela manutenção",Cobrança
"Cobrar o valor total de R$ 1915,44",Cobrança
Cobra o valor de R$ 1954 em 4x,Cobrança
"Cobrar o valor total de R$ 3782,12",Cobrança
Gerar cobrança automática de R$ 2450,Cobrança
"Cobrar R$ 1330,81 à vista amanhã",Cobrança
"Cobrar taxa de R$ 3027,22 pela entrega",Cobrança
"Cobra o pagamento de R$ 2838,39 em 5 parcelas",Cobrança
Cobrar taxa de R$ 4757 pela entrega,Cobrança
"Emitir cobrança no valor de R$ 271,28",Cobrança
Passe a cobrança de R$ 3269 para o cliente,Cobrança
"Passe a fatura de R$ 531,97 no cartão",Cobrança
"Emitir cobrança no valor de R$ 3513,67",Cobrança
"Passe a fatura de R$ 4885,82 no cartão",Cobrança
"Gerar cobrança automática de R$ 1831,81",Cobrança
"Cobrar taxa de R$ 1303,63 pela entrega",Cobrança
Cobrar R$ 3289 à vista amanhã,Cobrança
Emitir cobrança no valor de R$ 431,Cobrança
Cobra R$ 4492 pela manutenção,Cobrança
Cobra o valor de R$ 3890 em 9x,Cobrança
Emitir cobrança no valor de R$ 3920,Cobrança
"Cobrar R$ 2659,31 à vista amanhã",Cobrança
Cobra o valor de R$ 2738 em 2x,Cobrança
Cobra o pagamento de R$ 2213 em 3 parcelas,Cobrança
Cobra R$ 879 pela manutenção,Cobrança
"Cobrar R$ 1049,85 à vista amanhã",Cobrança
Lançar cobrança para João no valor de R$ 4924,Cobrança
Emitir cobrança no valor de R$ 479,Cobrança
"Cobra o valor de R$ 2701,17 em 6x",Cobrança
"Passe a cobrança de R$ 2411,94 para o cliente",Cobrança
Cobrar o valor total de R$ 3248,Cobrança
Cobrar a quantia de R$ 4437 referente ao serviço,Cobrança
"Cobrar taxa de R$ 3467,50 pela entrega",Cobrança
Gerar cobrança automática de R$ 709,Cobrança
Cobrar R$ 77 à vista amanhã,Cobrança
"Gerar cobrança automática de R$ 2625,37",Cobrança
"Lançar cobrança para João no valor de R$ 640,82",Cobrança
Passe a cobrança de R$ 3705 para o cliente,Cobrança
Lançar cobrança para João no valor de R$ 4388,Cobrança
Cobrar R$ 2517 à vista amanhã,Cobrança
"Cobrar taxa de R$ 4858,84 pela entrega",Cobrança
"Passe a cobrança de R$ 730,21 para o cliente",Cobrança
"Cobrar a quantia de R$ 2513,19 referente ao serviço",Cobrança
Passe a cobrança de R$ 1530 para o cliente,Cobrança
Cobrar a quantia de R$ 2225 referente ao serviço,Cobrança
Emitir cobrança no valor de R$ 3986,Cobrança
"Cobrar taxa de R$ 4574,14 pela entrega",Cobrança
Cobrar a quantia de R$ 1643 referente ao serviço,Cobrança
Passe a fatura de R$ 2879 no cartão,Cobrança
Cobra R$ 4881 pela manutenção,Cobrança
"Cobra o valor de R$ 2002,59 em 9x",Cobrança
"Cobra R$ 3875,84 pela manutenção",Cobrança
"Passe a cobrança de R$ 3327,50 para o cliente",Cobrança
"Cobrar taxa de R$ 1150,51 pela entrega",Cobrança
Cobra o pagamento de R$ 3295 em 2 parcelas,Cobrança
Lançar cobrança para João no valor de R$ 3490,Cobrança
Passe a cobrança de R$ 4399 para o cliente,Cobrança
"Cobrar o valor total de R$ 2856,81",Cobrança
Cobra o valor de R$ 2329 em 7x,Cobrança
Cobra o pagamento de R$ 712 em 12 parcelas,Cobrança
"Lançar cobrança para João no valor de R$ 3637,90",Cobrança
"Cobra R$ 941,39 pela manutenção",Cobrança
"Lançar cobrança para João no valor de R$ 3368,58",Cobrança
"Cobra o pagamento de R$ 166,26 em 10 parcelas",Cobrança
"Cobra o pagamento de R$ 3647,71 em 3 parcelas",Cobrança
"Emitir cobrança no valor de R$ 2819,36",Cobrança
Cobra o pagamento de R$ 4270 em 9 parcelas,Cobrança
"Passe a fatura de R$ 4365,66 no cartão",Cobrança
"Cobrar taxa de R$ 2198,52 pela entrega",Cobrança
"Lançar cobrança para João no valor de R$ 4632,89",Cobrança
"Cobra o pagamento de R$ 4377,41 em 11 parcelas",Cobrança
Passe a fatura de R$ 1416 no cartão,Cobrança
"Cobra o pagamento de R$ 398,24 em 4 parcelas",Cobrança
"Cobra o pagamento de R$ 474,20 em 12 parcelas",Cobrança
Cobrar a quantia de R$ 361 referente ao serviço,Cobrança
"Lançar cobrança para João no valor de R$ 1354,20",Cobrança
Cobrar o valor total de R$ 4449,Cobrança
Gerar cobrança automática de R$ 2838,Cobrança
"Cobra R$ 4418,93 pela manutenção",Cobrança
"Cobra o valor de R$ 1635,36 em 10x",Cobrança
"Emitir cobrança no valor de R$ 162,24",Cobrança
Cobrar R$ 4412 à vista amanhã,Cobrança
Cobrar R$ 2685 à vista amanhã,Cobrança
"Passe a fatura de R$ 297,86 no cartão",Cobrança
"Lançar cobrança para João no valor de R$ 2120,60",Cobrança
"Cobra R$ 2264,19 pela manutenção",Cobrança
"Cobra o valor de R$ 4759,90 em 11x",Cobrança
"Passe a cobrança de R$ 4941,19 para o cliente",Cobrança
"Gerar cobrança automática de R$ 1698,11",Cobrança
"Passe a fatura de R$ 3506,55 no cartão",Cobrança
"Cobrar o valor total de R$ 1779,62",Cobrança
"Cobrar taxa de R$ 3602,85 pela entrega",Cobrança
Cobrar a quantia de R$ 523 referente ao serviço,Cobrança
Cobrar a quantia de R$ 1685 referente ao serviço,Cobrança
Passe a cobrança de R$ 3399 para o cliente,Cobrança
Cobrar a quantia de R$ 926 referente ao serviço,Cobrança
Emitir cobrança no valor de R$ 2095,Cobrança
Gerar cobrança automática de R$ 488,Cobrança
Cobrar o valor total de R$ 235,Cobrança
"Lançar cobrança para João no valor de R$ 3219,76",Cobrança
Lançar cobrança para João no valor de R$ 1250,Cobrança
"Cobrar R$ 2627,53 à vista amanhã",Cobrança
"Passe a fatura de R$ 2883,34 no cartão",Cobrança
"Passe a cobrança de R$ 937,48 para o cliente",Cobrança
"Lançar cobrança para João no valor de R$ 822,62",Cobrança
Cobra R$ 4919 pela manutenção,Cobrança
"Cobra o pagamento de R$ 3265,70 em 3 parcelas",Cobrança
"Cobrar o valor total de R$ 3904,48",Cobrança
Passe a fatura de R$ 1128 no cartão,Cobrança
Passe a cobrança de R$ 1767 para o cliente,Cobrança
Passe a cobrança de R$ 284 para o cliente,Cobrança
Cobra R$ 3477 pela manutenção,Cobrança
Cobrar taxa de R$ 2008 pela entrega,Cobrança
"Cobra o valor de R$ 4884,74 em 12x",Cobrança
Gerar cobrança automática de R$ 3917,Cobrança
Cobra o pagamento de R$ 4263 em 10 parcelas,Cobrança
Cobra R$ 1304 pela manutenção,Cobrança
Cobra o pagamento de R$ 2345 em 11 parcelas,Cobrança
"Cobra o valor de R$ 2979,30 em 9x",Cobrança
"Passe a cobrança de R$ 3449,55 para o cliente",Cobrança
Cobra o pagamento de R$ 125 em 1 parcelas,Cobrança
Cobrar taxa de R$ 1828 pela entrega,Cobrança
"Gerar cobrança automática de R$ 4726,10",Cobrança
"Cobra o pagamento de R$ 4140,77 em 3 parcelas",Cobrança
Passe a fatura de R$ 2850 no cartão,Cobrança
Passe a fatura de R$ 3929 no cartão,Cobrança
Cobra R$ 276 pela manutenção,Cobrança
Emitir cobrança no valor de R$ 4233,Cobrança
Passe a fatura de R$ 2888 no cartão,Cobrança
Cobrar a quantia de R$ 4085 referente ao serviço,Cobrança
Cobra o valor de R$ 558 em 2x,Cobrança
Passe a fatura de R$ 4560 no cartão,Cobrança
"Cobrar o valor total de R$ 3007,64",Cobrança
Cobra R$ 4163 pela manutenção,Cobrança
Gerar cobrança automática de R$ 581,Cobrança
"Passe a cobrança de R$ 4926,22 para o cliente",Cobrança
"Emitir cobrança no valor de R$ 953,41",Cobrança
Cobrar a quantia de R$ 1902 referente ao serviço,Cobrança
Cobra o pagamento de R$ 2934 em 1 parcelas,Cobrança
"Emitir cobrança no valor de R$ 794,52",Cobrança
Cobra R$ 4578 pela manutenção,Cobrança
"Cobra R$ 3599,18 pela manutenção",Cobrança
"Cobrar a quantia de R$ 3761,27 referente ao serviço",Cobrança
Cobrar a quantia de R$ 2222 referente ao serviço,Cobrança
"Cobra o valor de R$ 2803,91 em 2x",Cobrança
"Lançar cobrança para João no valor de R$ 3380,92",Cobrança
"Cobrar R$ 4848,15 à vista amanhã",Cobrança
"Emitir cobrança no valor de R$ 4675,93",Cobrança
Cobrar taxa de R$ 4918 pela entrega,Cobrança
"Cobrar R$ 3943,12 à vista amanhã",Cobrança
"Cobrar R$ 4392,54 à vista amanhã",Cobrança
Cobra o pagamento de R$ 1494 em 1 parcelas,Cobrança
"Gerar cobrança automática de R$ 4086,31",Cobrança
"Cobra o pagamento de R$ 2807,89 em 5 parcelas",Cobrança
"Cobrar a quantia de R$ 1402,77 referente ao serviço",Cobrança
"Lançar cobrança para João no valor de R$ 2836,71",Cobrança
Passe a fatura de R$ 2976 no cartão,Cobrança
"Cobrar a quantia de R$ 3114,51 referente ao serviço",Cobrança
"Passe a fatura de R$ 3897,41 no cartão",Cobrança
Cobrar taxa de R$ 3753 pela entrega,Cobrança
"Emitir cobrança no valor de R$ 3581,83",Cobrança
"Passe a fatura de R$ 4058,84 no cartão",Cobrança
Cobra o pagamento de R$ 398 em 8 parcelas,Cobrança
"Emitir cobrança no valor de R$ 2194,43",Cobrança
Lançar cobrança para João no valor de R$ 2563,Cobrança
"Passe a fatura de R$ 4688,94 no cartão",Cobrança
"Gerar cobrança automática de R$ 4476,27",Cobrança
"Cobra R$ 1559,84 pela manutenção",Cobrança
Passe a cobrança de R$ 4354 para o cliente,Cobrança
Lançar cobrança para João no valor de R$ 1883,Cobrança
"Cobra o pagamento de R$ 2516,80 em 4 parcelas",Cobrança
"Cobrar taxa de R$ 3769,85 pela entrega",Cobrança
Lançar cobrança para João no valor de R$ 315,Cobrança
"Cobra R$ 4375,93 pela manutenção",Cobrança
"Passe a cobrança de R$ 4868,50 para o cliente",Cobrança
Passe a cobrança de R$ 4150 para o cliente,Cobrança
Passe a fatura de R$ 1522 no cartão,Cobrança
"Cobra o pagamento de R$ 2197,10 em 3 parcelas",Cobrança
Passe a fatura de R$ 562 no cartão,Cobrança
Gerar cobrança automática de R$ 4193,Cobrança
"Cobra o pagamento de R$ 744,47 em 7 parcelas",Cobrança
"Cobra o pagamento de R$ 3676,27 em 4 parcelas",Cobrança
Cobrar taxa de R$ 4354 pela entrega,Cobrança
"Cobrar o valor total de R$ 1792,73",Cobrança
Cobra o pagamento de R$ 4854 em 1 parcelas,Cobrança
Cobrar a quantia de R$ 2312 referente ao serviço,Cobrança
Cobra R$ 1002 pela manutenção,Cobrança
"Passe a fatura de R$ 2614,93 no cartão",Cobrança
Cobrar R$ 239 à vista amanhã,Cobrança
"Cobra R$ 3359,62 pela manutenção",Cobrança
"Cobrar o valor total de R$ 3118,59",Cobrança
"Emitir cobrança no valor de R$ 2302,43",Cobrança
Cobrar o valor total de R$ 608,Cobrança
"Passe a cobrança de R$ 2678,75 para o cliente",Cobrança
"Cobra o valor de R$ 947,43 em 11x",Cobrança
"Cobra o valor de R$ 4385,44 em 10x",Cobrança
"Cobra R$ 2210,30 pela manutenção",Cobrança
"Cobra o valor de R$ 4775,60 em 11x",Cobrança
Cobrar o valor total de R$ 4747,Cobrança
"Emitir cobrança no valor de R$ 4893,85",Cobrança
Passe a cobrança de R$ 3412 para o cliente,Cobrança
Cobrar taxa de R$ 380 pela entrega,Cobrança
"Passe a fatura de R$ 1860,11 no cartão",Cobrança
Cobrar R$ 1189 à vista amanhã,Cobrança
Cobra R$ 611 pela manutenção,Cobrança
Cobrar taxa de R$ 3500 pela entrega,Cobrança
"Cobra R$ 379,53 pela manutenção",Cobrança
"Cobra o valor de R$ 4605,31 em 3x",Cobrança
"Passe a fatura de R$ 2617,59 no cartão",Cobrança
Gerar cobrança automática de R$ 3662,Cobrança
"Passe a fatura de R$ 510,54 no cartão",Cobrança
Cobrar o valor total de R$ 3851,Cobrança
Passe a cobrança de R$ 3346 para o cliente,Cobrança
Cobra o pagamento de R$ 2499 em 8 parcelas,Cobrança
"Cobrar taxa de R$ 794,87 pela entrega",Cobrança
"Emitir cobrança no valor de R$ 2289,93",Cobrança
Passe a cobrança de R$ 2301 para o cliente,Cobrança
"Passe a fatura de R$ 466,63 no cartão",Cobrança
Emitir cobrança no valor de R$ 3111,Cobrança
"Cobra o valor de R$ 4468,93 em 10x",Cobrança
"Emitir cobrança no valor de R$ 77,89",Cobrança
Cobra R$ 2977 pela manutenção,Cobrança
"Passe a fatura de R$ 4421,89 no cartão",Cobrança
"Passe a fatura de R$ 542,13 no cartão",Cobrança
"Cobrar taxa de R$ 2792,38 pela entrega",Cobrança
"Cobra o valor de R$ 4896,78 em 11x",Cobrança
"Emitir cobrança no valor de R$ 547,11",Cobrança
Cobra o valor de R$ 1890 em 4x,Cobrança
"Passe a fatura de R$ 1793,57 no cartão",Cobrança
Gerar cobrança automática de R$ 3240,Cobrança
"Emitir cobrança no valor de R$ 351,33",Cobrança
Cobra o valor de R$ 523 em 2x,Cobrança
"Passe a fatura de R$ 855,34 no cartão",Cobrança
"Cobrar o valor total de R$ 3370,68",Cobrança
"Cobra R$ 3193,48 pela manutenção",Cobrança
"Cobrar o valor total de R$ 1328,92",Cobrança
"Cobra o pagamento de R$ 2960,59 em 3 parcelas",Cobrança
"Passe a cobrança de R$ 4277,44 para o cliente",Cobrança
Cobrar R$ 4129 à vista amanhã,Cobrança
Passe a cobrança de R$ 1682 para o cliente,Cobrança
Cobrar o valor total de R$ 1925,Cobrança
"Cobra o pagamento de R$ 2332,64 em 4 parcelas",Cobrança
"Cobrar taxa de R$ 2897,69 pela entrega",Cobrança
"Gerar cobrança automática de R$ 1319,15",Cobrança
"Cobra R$ 639,28 pela manutenção",Cobrança
"Passe a cobrança de R$ 599,91 para o cliente",Cobrança
Emitir cobrança no valor de R$ 4722,Cobrança
Passe a fatura de R$ 2511 no cartão,Cobrança
Emitir cobrança no valor de R$ 1251,Cobrança
"Cobrar o valor total de R$ 1217,45",Cobrança
Cobra o valor de R$ 369 em 7x,Cobrança
Cobrar taxa de R$ 1194 pela entrega,Cobrança
Cobra R$ 3996 pela manutenção,Cobrança
"Emitir cobrança no valor de R$ 3517,24",Cobrança
"Cobra o valor de R$ 4304,17 em 5x",Cobrança
Cobra o valor de R$ 2848 em 1x,Cobrança
"Cobra o pagamento de R$ 3780,20 em 8 parcelas",Cobrança
Lançar cobrança para João no valor de R$ 2052,Cobrança
Passe a cobrança de R$ 1263 para o cliente,Cobrança
"Cobrar o valor total de R$ 4643,20",Cobrança
Emitir cobrança no valor de R$ 4322,Cobrança
Gerar cobrança automática de R$ 2014,Cobrança
Cobrar o valor total de R$ 3560,Cobrança
Lançar cobrança para João no valor de R$ 1373,Cobrança
"Emitir cobrança no valor de R$ 1437,89",Cobrança
"Cobra R$ 1557,23 pela manutenção",Cobrança
"Cobrar o valor total de R$ 280,98",Cobrança
"Passe a fatura de R$ 4172,30 no cartão",Cobrança
Cobrar taxa de R$ 3207 pela entrega,Cobrança
Cobra o pagamento de R$ 3604 em 9 parcelas,Cobrança
Cobra o valor de R$ 2448 em 6x,Cobrança
"Cobra R$ 3976,63 pela manutenção",Cobrança
Lançar cobrança para João no valor de R$ 3701,Cobrança
"Passe a fatura de R$ 3469,23 no cartão",Cobrança
Cobra o pagamento de R$ 4460 em 7 parcelas,Cobrança
"Cobra R$ 4012,62 pela manutenção",Cobrança
"Cobra o valor de R$ 1898,61 em 6x",Cobrança
"Cobra o pagamento de R$ 1652,57 em 3 parcelas",Cobrança
Cobra R$ 3890 pela manutenção,Cobrança
Passe a cobrança de R$ 4958 para o cliente,Cobrança
"Cobra R$ 532,37 pela manutenção",Cobrança
Cobrar a quantia de R$ 769 referente ao serviço,Cobrança
Passe a fatura de R$ 3485 no cartão,Cobrança
"Passe a fatura de R$ 360,99 no cartão",Cobrança
Cobra o pagamento de R$ 1033 em 4 parcelas,Cobrança
Cobra o pagamento de R$ 4960 em 2 parcelas,Cobrança
Cobrar o valor total de R$ 331,Cobrança
Cobrar R$ 567 à vista amanhã,Cobrança
"Cobra o valor de R$ 3761,88 em 9x",Cobrança
Cobrar o valor total de R$ 2598,Cobrança
Cobra R$ 1571 pela manutenção,Cobrança
"Passe a fatura de R$ 1239,46 no cartão",Cobrança
Emitir cobrança no valor de R$ 3687,Cobrança
"Cobrar o valor total de R$ 4806,21",Cobrança
Lançar cobrança para João no valor de R$ 3470,Cobrança
"Emitir cobrança no valor de R$ 461,73",Cobrança
Passe a fatura de R$ 1919 no cartão,Cobrança
Passe a cobrança de R$ 301 para o cliente,Cobrança
Cobra o pagamento de R$ 86 em 11 parcelas,Cobrança
Gerar cobrança automática de R$ 1781,Cobrança
Lançar cobrança para João no valor de R$ 813,Cobrança
Gerar cobrança automática de R$ 3081,Cobrança
Passe a fatura de R$ 3714 no cartão,Cobrança
"Cobra R$ 655,92 pela manutenção",Cobrança
"Gerar cobrança automática de R$ 1575,14",Cobrança
Cobrar o valor total de R$ 2042,Cobrança
"Cobra R$ 427,50 pela manutenção",Cobrança
"Cobrar a quantia de R$ 4565,24 referente ao serviço",Cobrança
Gerar cobrança automática de R$ 2684,Cobrança
"Gerar cobrança automática de R$ 3564,19",Cobrança
"Lançar cobrança para João no valor de R$ 1650,59",Cobrança
"Passe a fatura de R$ 3058,87 no cartão",Cobrança
Cobra o pagamento de R$ 1106 em 3 parcelas,Cobrança
Cobra o valor de R$ 2546 em 1x,Cobrança
"Emitir cobrança no valor de R$ 2212,35",Cobrança
Cobrar a quantia de R$ 1061 referente ao serviço,Cobrança
Cobrar taxa de R$ 2474 pela entrega,Cobrança
Passe a fatura de R$ 3647 no cartão,Cobrança
"Cobrar R$ 482,16 à vista amanhã",Cobrança
"Cobra o valor de R$ 3589,10 em 9x",Cobrança
Cobra R$ 3152 pela manutenção,Cobrança
"Gerar cobrança automática de R$ 3472,30",Cobrança
"Cobrar taxa de R$ 4003,16 pela entrega",Cobrança
Passe a fatura de R$ 962 no cartão,Cobrança
Lançar cobrança para João no valor de R$ 3999,Cobrança
"Cobra o pagamento de R$ 160,90 em 8 parcelas",Cobrança
"Lançar cobrança para João no valor de R$ 1756,28",Cobrança
"Cobra o valor de R$ 3467,15 em 5x",Cobrança
Cobrar o valor total de R$ 2685,Cobrança
"Cobra R$ 3251,29 pela manutenção",Cobrança
Cobra o pagamento de R$ 3391 em 7 parcelas,Cobrança
Cobra o pagamento de R$ 3023 em 9 parcelas,Cobrança
"Emitir cobrança no valor de R$ 1688,62",Cobrança
"Cobrar a quantia de R$ 1434,42 referente ao serviço",Cobrança
"Passe a fatura de R$ 3059,63 no cartão",Cobrança
"Lançar cobrança para João no valor de R$ 3439,72",Cobrança
Lançar cobrança para João no valor de R$ 4426,Cobrança
"Passe a fatura de R$ 3920,43 no cartão",Cobrança
"Cobra R$ 659,96 pela manutenção",Cobrança
Gerar cobrança automática de R$ 4822,Cobrança
Cobra o pagamento de R$ 4624 em 1 parcelas,Cobrança
Gerar cobrança automática de R$ 2860,Cobrança
"Cobra R$ 2616,51 pela manutenção",Cobrança
"Lançar cobrança para João no valor de R$ 3911,90",Cobrança
"Lançar cobrança para João no valor de R$ 3305,22",Cobrança
Cobra o pagamento de R$ 2020 em 6 parcelas,Cobrança
"Passe a cobrança de R$ 2575,61 para o cliente",Cobrança
Emitir cobrança no valor de R$ 2929,Cobrança
"Cobra R$ 4934,16 pela manutenção",Cobrança
Passe a fatura de R$ 4613 no cartão,Cobrança
"Passe a cobrança de R$ 1126,41 para o cliente",Cobrança
"Lançar cobrança para João no valor de R$ 999,33",Cobrança
"Cobra R$ 1145,52 pela manutenção",Cobrança
Cobra R$ 422 pela manutenção,Cobrança
"Cobra o valor de R$ 3568,56 em 10x",Cobrança
Cobrar taxa de R$ 1449 pela entrega,Cobrança
"Emitir cobrança no valor de R$ 1608,12",Cobrança
Cobrar taxa de R$ 4695 pela entrega,Cobrança
Emitir cobrança no valor de R$ 3751,Cobrança
"Cobrar o valor total de R$ 3312,41",Cobrança
Cobra o valor de R$ 4664 em 7x,Cobrança
"Passe a fatura de R$ 318,89 no cartão",Cobrança
"Passe a fatura de R$ 4576,30 no cartão",Cobrança
"Cobrar R$ 2574,94 à vista amanhã",Cobrança
Gerar cobrança automática de R$ 3025,Cobrança
Cobrar o valor total de R$ 4109,Cobrança
Lançar cobrança para João no valor de R$ 161,Cobrança
Cobra o pagamento de R$ 1088 em 8 parcelas,Cobrança
Cobrar a quantia de R$ 1774 referente ao serviço,Cobrança
Lançar cobrança para João no valor de R$ 1042,Cobrança
Cobra o pagamento de R$ 2571 em 10 parcelas,Cobrança
Lançar cobrança para João no valor de R$ 3771,Cobrança
"Cobra o valor de R$ 1607,11 em 9x",Cobrança
"Cobra o valor de R$ 2726,77 em 1x",Cobrança
"Passe a fatura de R$ 386,53 no cartão",Cobrança
"Cobrar o valor total de R$ 2303,19",Cobrança
"Passe a fatura de R$ 2421,63 no cartão",Cobrança
"Gerar cobrança automática de R$ 2666,57",Cobrança
Passe a cobrança de R$ 2388 para o cliente,Cobrança
"Cobrar o valor total de R$ 2083,40",Cobrança
"Cobrar o valor total de R$ 4231,18",Cobrança
Cobrar o valor total de R$ 3325,Cobrança
"Cobra o valor de R$ 270,38 em 11x",Cobrança
"Gerar cobrança automática de R$ 1213,93",Cobrança
Cobra o valor de R$ 4344 em 8x,Cobrança
"Emitir cobrança no valor de R$ 960,94",Cobrança
"Cobrar taxa de R$ 77,10 pela entrega",Cobrança
"Cobrar taxa de R$ 1032,81 pela entrega",Cobrança
Cobra o valor de R$ 4944 em 6x,Cobrança
Passe a cobrança de R$ 515 para o cliente,Cobrança
Cobrar o valor total de R$ 2926,Cobrança
"Passe a cobrança de R$ 950,88 para o cliente",Cobrança
Cobrar taxa de R$ 779 pela entrega,Cobrança
Lançar cobrança para João no valor de R$ 622,Cobrança
Lançar cobrança para João no valor de R$ 1947,Cobrança
"Passe a cobrança de R$ 2912,25 para o cliente",Cobrança
Cobrar R$ 548 à vista amanhã,Cobrança
Passe a fatura de R$ 1002 no cartão,Cobrança
"Emitir cobrança no valor de R$ 906,72",Cobrança
Cobrar o valor total de R$ 2502,Cobrança
Passe a cobrança de R$ 4379 para o cliente,Cobrança
"Cobra o valor de R$ 394,67 em 2x",Cobrança
Cobrar taxa de R$ 175 pela entrega,Cobrança
"Gerar cobrança automática de R$ 3257,36",Cobrança
Passe a fatura de R$ 887 no cartão,Cobrança
"Cobrar taxa de R$ 1970,23 pela entrega",Cobrança
Gerar cobrança automática de R$ 556,Cobrança
Cobrar a quantia de R$ 3415 referente ao serviço,Cobrança
Cobra o pagamento de R$ 1960 em 5 parcelas,Cobrança
"Emitir cobrança no valor de R$ 2937,64",Cobrança
Cobra R$ 167 pela manutenção,Cobrança
"Cobrar a quantia de R$ 1896,79 referente ao serviço",Cobrança
Emitir cobrança no valor de R$ 3903,Cobrança
